Assets,Geometric Mean,Arithmetic Mean,Volatility,U.S. Inflation,U.S. Cash,U.S. Intermediate Treasuries,U.S. Long Treasuries,TIPS,U.S. Aggregate Bonds,U.S. Securitized,U.S. Short Duration Government/Credit,U.S. Long Duration Government/Credit,U.S. Inv Grade Corporate Bonds,U.S. Long Corporate Bonds,U.S. High Yield Bonds,U.S. Leveraged Loans,World Government Bonds hedged,World Government Bonds,World ex-U.S. Government Bonds hedged,World ex-U.S. Government Bonds,Emerging Markets Sovereign Debt,Emerging Markets Local Currency Debt,Emerging Markets Corporate Bonds,U.S. Muni 1-15 Yr Blend,U.S. Muni High Yield,U.S. Large Cap,U.S. Mid Cap,U.S. Small Cap,Euro Area Large Cap,Japanese Equity,Hong Kong Equity,UK Large Cap,EAFE Equity,Chinese Domestic Equity,Emerging Markets Equity,AC Asia ex-Japan Equity,AC World Equity,U.S. Equity Value Factor,U.S. Equity Momentum Factor,U.S. Equity Quality Factor,U.S. Equity Minimum Volatility Factor,U.S. Equity Dividend Yield Factor,Global Convertible Bonds hedged,U.S. Core Real Estate,U.S. Value-Added Real Estate,European Core Real Estate,Asia Pacific Core Real Estate,U.S. REITs,Commercial Mortgage Loans,Global Core Infrastructure,Global Core Transport,Global Timberland,Commodities,Gold,Private Equity,Venture Capital,Diversified Hedge Funds,Event Driven Hedge Funds,Long Bias Hedge Funds,Relative Value Hedge Funds,Macro Hedge Funds,Direct Lending
World ex-U.S. Government Bonds,0.049,0.052501704113275816,0.08607002238137791,-0.13283579909200036,0.09335156494723403,0.6308599818539122,0.517405483139717,0.6396747268373336,0.7177443923767696,0.6553844791595946,0.675187527643229,0.649883231378382,0.6579694423626532,0.6411257322265426,0.37933335284032355,0.031076394324689054,0.6154296407101639,0.9838237736359358,0.5791982263456352,0.9999999999999999,0.616794169002981,0.6634246870320252,0.4912461107422192,0.5171937068546212,0.2398351812124569,0.3408238847820232,0.30544233198595716,0.22802778245852046,0.47405782116955586,0.3730132432335176,0.3549474608451667,0.38595274467510154,0.4728712578040384,0.1797869315188546,0.4629064003584234,0.43862193262883553,0.427892353805941,0.29956728071692645,0.3201668539935701,0.34794079102758996,0.3523053269788377,0.32862753851878834,0.3332160197788526,-0.09833791625576026,-0.0983379244195666,0.037427770155140594,0.2475733444974702,0.3786990678466855,0.25864319205925657,0.256701080451127,-0.06571554828927106,0.2906945605436126,0.30720380130829567,0.5183881286951892,0.18742627447115023,0.09346772537299945,0.10264182593141911,0.21002762786496687,0.3178794182460244,0.1720781108747181,0.13504760532271848,-0.05432814114856127
Emerging Markets Sovereign Debt,0.068,0.07230447721695699,0.09637066445297135,-0.11946027365562714,0.02551835515852995,0.2730636639293696,0.29602297261007726,0.607383582473668,0.6275918569921639,0.5784844808158507,0.46523563164971615,0.5859542162840936,0.8108392180335438,0.7599352160912348,0.7414411633422296,0.4653750232058175,0.3952927507953796,0.5744712465561066,0.42319323452052343,0.616794169002981,1.0,0.8018375020481401,0.8919544343650169,0.6091268836496077,0.5525866167046392,0.600363558877908,0.6030851741532441,0.5024245974615897,0.6657924006057895,0.5754141739732707,0.6010582079000586,0.6073253917372432,0.6836661196359809,0.3384204652769473,0.6949940909288577,0.6706635884412344,0.6729587424296246,0.5595685325568569,0.6121847554704901,0.6103850443746502,0.6075332395147457,0.5889447058893719,0.6860820971273042,0.14824407053456096,0.14824406583452865,0.2885214590950948,0.48940000364091,0.5848520458224551,0.5593776142120646,0.46850125171755025,-0.15516575633542026,0.3802695406974088,0.3536429714356684,0.33792180251821025,0.5886182052087517,0.45842262156361596,0.45731497274937283,0.5425927330298902,0.5922744289688266,0.5877414218208888,0.0954524050018797,0.47079231234075763
Emerging Markets Local Currency Debt,0.06,0.0669464579179162,0.12234796325144158,-0.03247791975585653,0.11591024992505511,0.18803833186343422,0.13703021296946533,0.4423539144634773,0.4478993093989307,0.4093908141202865,0.39236780966550033,0.4052971448854757,0.6041393854986151,0.5657760047521926,0.6215861202561546,0.3595135102079467,0.22925181079681897,0.6018274650722136,0.24916283101724185,0.6634246870320252,0.8018375020481401,1.0,0.7234656561786441,0.37225573460489736,0.29152959277738183,0.5906390089594235,0.5882837584797669,0.5246603110494604,0.7212974657085911,0.6160564363925276,0.6707486201741121,0.6634896702978625,0.7429114616919923,0.3544493591756115,0.8032128574272964,0.7538767738237062,0.7071824705933215,0.5864162781426013,0.5607186691916319,0.6008246664340023,0.6062636974802924,0.6135138487528996,0.6123835482491115,0.14933088786091095,0.14933088386965318,0.30940362435292806,0.5316954689381976,0.5710425193699701,0.3962215976536113,0.5094040467883993,-0.03640582753141376,0.5086925979386512,0.46473123025549495,0.39502513820214447,0.5994459249383405,0.40874090248036643,0.4121572022780067,0.5318360877213091,0.617133592954511,0.5465847239281236,0.1812274401197439,0.39502826928970114
Emerging Markets Corporate Bonds,0.067,0.07077324277966635,0.0901303970151826,-0.05288875843467218,-0.028680541808983023,0.1610400706183019,0.1902648975276724,0.5347577759251696,0.544571031608622,0.4839564484917915,0.41925374434046425,0.4956171349857086,0.794139915419961,0.718309553040187,0.7204811828685934,0.569626308534805,0.2694017168219614,0.4549476563345003,0.2871124185679036,0.4912461107422192,0.8919544343650169,0.7234656561786441,1.0,0.47819757585545436,0.5450040960940944,0.5572526548412768,0.566214062871517,0.4671250089389743,0.6156407631474994,0.5629616677684207,0.6484390737683174,0.5960071254016477,0.6500836723427056,0.39620035154170913,0.6977302175407772,0.6861142511510099,0.6385872211592108,0.5251138862248736,0.5569241319624043,0.5529727842032169,0.5326711734951088,0.5408611454963671,0.6912720660516467,0.24099345142085446,0.24099344772747622,0.3890825799175071,0.5473037688330721,0.49991664919986684,0.524132283065598,0.48091651025700327,-0.1813283807340516,0.3435578064364758,0.35645926089204977,0.31959317726923586,0.625361449038727,0.4753039377573663,0.4989677873216704,0.5699370355461052,0.6047620346097118,0.6370807622615248,0.06678775615227849,0.5134129547204026
U.S. Muni 1-15 Yr Blend,0.04,0.04072520881341357,0.038872425165187595,-0.15550255227689164,0.08692712916341148,0.5154825828914359,0.48806385224353543,0.5672687304456601,0.7071730845871772,0.6776240763339544,0.5484380331552396,0.624302449117684,0.677858292315599,0.6389534132804535,0.3982577847831257,0.17580729832860587,0.5814009277916831,0.5325291886748658,0.5651609589190635,0.5171937068546212,0.6091268836496077,0.37225573460489736,0.47819757585545436,1.0000000000000002,0.6199106009332765,0.19571582688003494,0.2126361121714741,0.13563107925327697,0.2390614434176458,0.21484757065798712,0.2421938091966219,0.17940628493488678,0.23550139300809372,0.0976861530610804,0.2155961758670925,0.23234425619574656,0.21677584032301436,0.16105026867707173,0.237719825229596,0.2240678726467025,0.2425713188457893,0.21976914977438913,0.2777742389626069,-0.15974879153254057,-0.15974879565299535,-0.06340631267447659,0.14473123781615307,0.2871508315029701,0.4810678730268089,0.1051101176175395,-0.18328025751580515,0.07095423808501726,-0.03816979290450651,0.250131233134967,0.11633136238550675,0.11192686834850187,0.08015322519740238,0.12357427808211786,0.1536728499755566,0.17377023308577014,-0.0750822420550586,0.060711487695105426
U.S. Muni High Yield,0.05800000000000001,0.06137553858017841,0.08485137870582825,0.19640853088260854,-0.04351879268362732,0.1135638208135165,0.20479569980955586,0.45862899678200064,0.3945366677264866,0.3868903174206356,0.16959522271055907,0.35388376439746755,0.5310831500197936,0.4666145482914299,0.47945606098132443,0.5010454794184166,0.24465925235714597,0.2222639618617621,0.2592679978478965,0.2398351812124569,0.5525866167046392,0.29152959277738183,0.5450040960940944,0.6199106009332765,0.9999999999999999,0.29955655509089596,0.30253750246240074,0.20503509219749774,0.28123566668987576,0.26133645743660977,0.33119345497580144,0.32642201215939487,0.3057302380479327,0.17505417437869344,0.34741571832502727,0.3468059782274789,0.3158047947524548,0.23866693611744574,0.34136009437378684,0.2893913619760997,0.29710868639350835,0.27136951363749945,0.36241033816946144,0.3933859857131317,0.3933859895796122,0.36481412342200603,0.4842221901041035,0.3290272512321545,0.5734011582662875,0.32602417750461904,0.0031870897962743405,0.11044185653726184,0.1977019666094961,0.154496759648995,0.38562945374758034,0.3316732374133529,0.393004604338043,0.374018886962225,0.3109851614293737,0.4666377005625947,-0.03651863156433396,0.3860923510050743
U.S. Large Cap,0.07,0.08190714769728459,0.16185340737651438,0.01278985829800656,-0.03617962303333933,-0.11314391548414095,-0.09553705930754165,0.28718588640994935,0.2110300100517687,0.20084898433658174,0.08680561972542042,0.2054363139655136,0.46133889440555714,0.43834839902450795,0.7390993022437324,0.5840560411580136,0.031506744006495696,0.26210292547499575,0.11826833392636661,0.3408238847820232,0.600363558877908,0.5906390089594235,0.5572526548412768,0.19571582688003494,0.29955655509089596,1.0000000000000002,0.9608889707605006,0.9015903839802536,0.8475117600207708,0.7336738090870691,0.6001984369479044,0.8292590172227029,0.8818719938339173,0.3573642647588869,0.7418791120403275,0.7101199441677472,0.9635788450843387,0.9645446726074619,0.9656603702989212,0.9892894267420855,0.9325967342176316,0.9311571018431734,0.8562701491798148,0.3846658802586795,0.3846658758625894,0.5114657067750351,0.6213160872315744,0.7660682620179157,0.28304610689374776,0.4605178206755416,0.03359861738523552,0.4510811258458158,0.4547030330715883,0.03343151395124822,0.7925023693182905,0.6510220988270761,0.6800928444278316,0.8010081012734034,0.8651158693788857,0.690712093137317,0.17723864216606255,0.6131836747471487
U.S. Mid Cap,0.076,0.09076140840344206,0.18129546334266464,0.006076554121995202,-0.054936100512821835,-0.15669910754052477,-0.12396551483843327,0.2796577130962915,0.19437248054767853,0.18882317562190198,0.07039954102452023,0.18900871473838698,0.4660921583845897,0.4382463885373955,0.782673906607882,0.6314203033164278,-0.012404204491487172,0.2218609420945286,0.07642451541324613,0.30544233198595716,0.6030851741532441,0.5882837584797669,0.566214062871517,0.2126361121714741,0.30253750246240074,0.9608889707605006,1.0000000000000002,0.9504776528155295,0.8371296356768214,0.7245385962148467,0.6060179193269315,0.8139529088153208,0.8726298327586545,0.35369472426036336,0.756882550182864,0.7215022218109397,0.9451849500173485,0.9647331168224055,0.962022970408681,0.956513478357463,0.915531620479088,0.9439451537053459,0.8872925279697195,0.36514435428570113,0.36514434842376864,0.5052339792652196,0.6473976013311422,0.7837030197425386,0.3122013364410556,0.4646779390160372,-0.020099767941510048,0.4655347552046488,0.4770534962302821,0.03346125900385988,0.8081925989183778,0.6728969237467727,0.715483995449556,0.8498414297713295,0.8983190050208392,0.7438262694700374,0.1999407346041853,0.6848838291412523
U.S. Small Cap,0.072,0.09065703666148896,0.20436596913658103,-0.01679139166794389,-0.06866201112823551,-0.1949078256201151,-0.185088002677642,0.18330545485513855,0.10693659552983437,0.11720104860508623,0.010768827950460328,0.10141614973796495,0.3610569644447636,0.3371908728506776,0.7072657529420031,0.5590050584951266,-0.0690324389660378,0.14718942467851448,0.02282098753615052,0.22802778245852046,0.5024245974615897,0.5246603110494604,0.4671250089389743,0.13563107925327697,0.20503509219749774,0.9015903839802536,0.9504776528155295,1.0,0.7649635879015177,0.6668685089672073,0.5330005606228786,0.7313587558666952,0.7936591043628282,0.3195158617961167,0.6795821464091134,0.6529864007917077,0.871965314799569,0.9277924800632286,0.8973505494277135,0.8973489495467416,0.8455945636558996,0.8880454730421615,0.8286872289492068,0.3300884837749196,0.3300884765659586,0.44379290488530654,0.5569982773978077,0.7443380014934596,0.21940463565758136,0.4022341034987836,-0.008792332770522054,0.43604216677507385,0.4012264232329929,-0.03269773372740362,0.7603302179684183,0.7057242736848016,0.6401564427530826,0.8108919621401778,0.8504548941524518,0.6718768729203394,0.14225617220436518,0.6228004678040453
Euro Area Large Cap,0.09700000000000002,0.11830319229607555,0.22145825193614418,-0.015670483775963587,0.04675014343035244,-0.06269861210682257,-0.09832776259213814,0.27348006112947565,0.25158620073853927,0.2445227730352137,0.1928449457974705,0.21781355778462702,0.48457948918762633,0.4509803692093531,0.7238940673726216,0.5287991601733347,0.01658299571879472,0.3897729264146404,0.07507194807378756,0.47405782116955586,0.6657924006057895,0.7212974657085911,0.6156407631474994,0.2390614434176458,0.28123566668987576,0.8475117600207708,0.8371296356768214,0.7649635879015177,0.9999999999999999,0.7605588044678664,0.6926687702098308,0.9110550759295624,0.970353592389833,0.38389459482789157,0.8209948523375126,0.785602457795605,0.9293986485275971,0.8385995522876184,0.8140601309261201,0.8380586619444133,0.7892579383288744,0.81231643586405,0.8158380630733122,0.23255223452658944,0.23255222813558243,0.41634872169010406,0.649846370100507,0.6773975683724995,0.25889361623891144,0.537739699829309,0.0020004198606627978,0.5692243455896022,0.47798313664226155,0.10097205628590156,0.7843130403153001,0.561088663590182,0.6457421428426521,0.7684472973456934,0.8291546694107347,0.6899142102435468,0.22193853816061174,0.530227461298061
Japanese Equity,0.09300000000000001,0.10389209163650757,0.1562307314447047,-0.06753795901819934,-0.028479543801316193,-0.05254715192429143,-0.03438794223476985,0.2542132075443841,0.259384276945645,0.2560006465802874,0.18465542433704119,0.2536197647163942,0.4967922643054377,0.47300419654259634,0.6646826312516753,0.49407941722445325,0.035636920761057005,0.304223714405943,0.08505900866713147,0.3730132432335176,0.5754141739732707,0.6160564363925276,0.5629616677684207,0.21484757065798712,0.26133645743660977,0.7336738090870691,0.7245385962148467,0.6668685089672073,0.7605588044678664,0.9999999999999999,0.6159663298540934,0.7511194720230374,0.8489423679166194,0.34855994522544986,0.7035075088271094,0.689235084313291,0.8089014557676011,0.7258684280273618,0.7103983102734707,0.7174638758794099,0.6652571417336559,0.6961523623628817,0.7438550598538248,0.26935872061002747,0.2693587174069701,0.36523579691151214,0.5615948165430149,0.5564152744970366,0.11869846435852173,0.4249318447224394,-0.1498454733668454,0.3837284649118249,0.3884600021442037,0.04430628059432379,0.6213194825163921,0.5190409560399667,0.5890461206829193,0.6836157162954244,0.7546632383087544,0.6429253187884533,0.13977901437883888,0.4299407621841998
